RECEIPT,METERNO,TOKEN,POSNAME,OP_TIME,TENDERAMT,MSGID,ENERGY,POSID,OPERATOR,REPAY_AMOUNT,CLIENTID
0000000073815654,014446717499,70440421483492411432,AFRIKPAY,03-JAN-26,1400,03012026171047356638,28,17456,AFRIKPAY,0,1111111111116
0000000073811667,0263010151797,63026589032006183793,AFRIKPAY,03-JAN-26,2000,03012026161501444577,20,17456,AFRIKPAY,0,1111111111116
0000000073805794,014446710718,61019877192391813107,AFRIKPAY,03-JAN-26,1900,03012026143632111412,18.9,17456,AFRIKPAY,0,1111111111116
0000000073801232,014426376365,47612448817632114959,AFRIKPAY,03-JAN-26,5000,03012026131556643267,63.3,17456,AFRIKPAY,0,1111111111116
0000000073795267,014449227603,39047413726268261495,AFRIKPAY,03-JAN-26,1400,03012026113506857517,28,17456,AFRIKPAY,0,1111111111116
0000000073795177,0263007740859,66745957055390930421,AFRIKPAY,03-JAN-26,3400,03012026113342626441,68,17456,AFRIKPAY,0,1111111111116
0000000073787947,014426215399,15878279229592628323,AFRIKPAY,03-JAN-26,1000,03012026094523247266,10,17456,AFRIKPAY,0,1111111111116
0000000073785531,014396752017,63578383202021426958,AFRIKPAY,03-JAN-26,2000,03012026091332346462,21.2,17456,AFRIKPAY,0,1111111111116
0000000073781802,37272524135,69834207807490166406,AFRIKPAY,03-JAN-26,2000,03012026082448683261,25.4,17456,AFRIKPAY,0,1111111111116
0000000073768085,0263015490232,65950577569649657017,AFRIKPAY,03-JAN-26,5000,03012026001405324588,63.3,17456,AFRIKPAY,0,1111111111116
0000000073754584,0263008306577,37325477924735397043,AFRIKPAY,02-JAN-26,1000,02012026191404828327,12.7,17456,AFRIKPAY,0,1111111111116
0000000073732456,014412663131,27036369271926296383,AFRIKPAY,02-JAN-26,5000,02012026150204571265,63.3,17456,AFRIKPAY,0,1111111111116
0000000073729842,014446679426,20179202034093119404,AFRIKPAY,02-JAN-26,2400,02012026141751142464,48,17456,AFRIKPAY,0,1111111111116
0000000073707551,37240826539,62284003484049036675,AFRIKPAY,02-JAN-26,2000,02012026084010623735,40,17456,AFRIKPAY,0,1111111111116
0000000073694271,014400030079,18846915901607162211,AFRIKPAY,02-JAN-26,2000,02012026031214465142,21.3,17456,AFRIKPAY,0,1111111111116
0000000073659942,014392425964,51359082622157477868,AFRIKPAY,01-JAN-26,2000,01012026142126262771,40,17456,AFRIKPAY,0,1111111111116
0000000073643560,0179000436693,56041076135261744863,AFRIKPAY,01-JAN-26,1500,01012026101400817355,30.1,17456,AFRIKPAY,0,1111111111116
0000000073633387,014425504389,71198845882571373712,AFRIKPAY,01-JAN-26,15000,01012026075750487123,159.3,17456,AFRIKPAY,0,1111111111116
0000000073629568,37241190752,31831006323759515628,AFRIKPAY,01-JAN-26,5000,01012026070435415265,100,17456,AFRIKPAY,0,1111111111116
